created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-10-20 04:00:00 UTC,1.89,3.58,4.53,6388,-75.93,57.53,69.2,3.58
2020-10-20 05:00:00 UTC,1.54,3.23,4.2,6448,-76,57.67,68.93,3.23
2020-10-20 06:00:00 UTC,2.22,3.8,5.01,6508,-75.53,57,68.97,3.8
2020-10-20 07:00:00 UTC,2.38,4.13,5.05,6568,-76,57.13,69.2,4.13
2020-10-20 08:00:00 UTC,1.95,3.64,4.59,6628,-76.33,57.57,68.27,3.64
2020-10-20 09:00:00 UTC,2.42,4.16,5.13,6688,-76.87,56.93,68.83,4.16
2020-10-20 10:00:00 UTC,2.14,3.82,4.77,6748,-75.07,57,69,3.82
2020-10-20 11:00:00 UTC,1.25,2.73,3.73,6808,-74.93,56.73,68.87,2.73
2020-10-20 12:00:00 UTC,1.04,2.3,3.05,6868,-76.67,56.67,69.47,2.3
2020-10-20 13:00:00 UTC,1.16,2.46,3.29,6928,-75.83,57,68.57,2.46
2020-10-20 14:00:00 UTC,0.94,2.07,2.75,6988,-76.63,56.6,68.97,2.07
2020-10-20 15:00:00 UTC,1.74,3.14,3.85,7048,-74.8,56.97,69.37,3.14
2020-10-20 16:00:00 UTC,1.12,2.38,3.17,7108,-75.1,57.17,68.93,2.37
2020-10-20 17:00:00 UTC,0.78,2.02,2.85,7168,-74.87,58.13,67.17,2.02
2020-10-20 18:00:00 UTC,1.71,3.23,4.26,7228,-75.57,59.17,64.93,3.23
2020-10-20 19:00:00 UTC,0.87,2.03,2.95,7288,-73.97,60,61.43,2.03
2020-10-20 20:00:00 UTC,1.16,2.58,3.55,7348,-74.97,60,60.9,2.58
2020-10-20 21:00:00 UTC,1.79,3.4,4.48,7408,-76.37,60,59.77,3.4
2020-10-20 22:00:00 UTC,2.26,3.93,4.79,7468,-77.33,60,59.07,3.93
2020-10-20 23:00:00 UTC,1.51,2.77,3.57,7528,-78.33,59.6,60.57,2.77
2020-10-21 00:00:00 UTC,2.3,3.67,4.31,7588,-76.13,58.2,64.03,3.67
2020-10-21 01:00:00 UTC,1.6,2.79,3.54,7648,-76.17,57.3,65.23,2.79
2020-10-21 02:00:00 UTC,1.5,2.76,3.38,7708,-76.1,56.5,65.03,2.76
2020-10-21 03:00:00 UTC,3.72,5.82,6.98,7768,-75,55.5,65.5,5.82
2020-10-21 04:00:00 UTC,4.34,6.57,7.83,7828,-75.73,54.7,67.2,6.57
2020-10-21 05:00:00 UTC,3.29,5.18,6.29,7888,-75.17,53.83,68.47,5.18
2020-10-21 06:00:00 UTC,3.52,5.51,6.44,7948,-78.1,53,68.83,5.51
2020-10-21 07:00:00 UTC,3.78,5.89,6.9,8008,-76.63,52.6,69.7,5.89
2020-10-21 08:00:00 UTC,4.01,6.05,6.99,8068,-77.93,53.5,70.2,6.05
2020-10-21 09:00:00 UTC,4.81,7.26,8.27,8128,-75.83,54.8,70.17,7.26
2020-10-21 10:00:00 UTC,3.49,5.39,6.52,8188,-74.57,55.47,69.07,5.39
2020-10-21 11:00:00 UTC,7.6,10.85,12.04,8248,-76.13,55,68.63,10.85
2020-10-21 12:00:00 UTC,8.76,12.44,13.63,8308,-75.03,54.63,67.93,12.44
2020-10-21 13:00:00 UTC,8.01,11.11,12.14,8368,-74.9,53.1,67.87,11.11
2020-10-21 14:00:00 UTC,7.54,10.48,11.68,8428,-75.43,53.23,68.83,10.48
2020-10-21 15:00:00 UTC,7.06,9.66,10.59,8488,-77.17,53.6,67.93,9.66
2020-10-21 16:00:00 UTC,6,8.4,9.16,8548,-76.23,54.43,67.8,8.4
2020-10-21 17:00:00 UTC,4.67,6.69,7.63,8608,-76.2,55,66.03,6.69
2020-10-21 18:00:00 UTC,3.63,5.52,6.24,8668,-76.13,52.17,67.73,5.43
2020-10-21 19:00:00 UTC,0.35,0.84,1.14,8728,-75.4,54.03,68.8,0.84
2020-10-21 20:00:00 UTC,0.83,1.49,1.9,8788,-77.1,55.03,66.83,1.49
2020-10-21 21:00:00 UTC,2.08,3.08,3.37,8848,-77.3,54.47,63.57,3.08
2020-10-21 22:00:00 UTC,1.73,2.66,2.92,8908,-77.07,55.77,62,2.66
2020-10-21 23:00:00 UTC,3.61,6.08,6.71,8968,-77.43,55.37,60.7,6.08
2020-10-22 00:00:00 UTC,2.01,3.11,3.4,9028,-77.17,53.27,63.6,3.11
2020-10-22 01:00:00 UTC,3.29,4.83,5.34,9088,-74.8,50.5,67.03,4.83
2020-10-22 02:00:00 UTC,2.35,3.52,3.99,9148,-76.23,50,68.57,3.52
2020-10-22 03:00:00 UTC,2.56,3.87,4.55,9208,-75.67,49.23,69,3.87
2020-10-22 04:00:00 UTC,5.11,7.59,8.18,9268,-76.57,49,69,7.59
2020-10-22 05:00:00 UTC,4.59,6.64,7.34,9328,-77.17,49.83,69.6,6.64
2020-10-22 06:00:00 UTC,3.41,5.03,5.56,9388,-77.47,49.9,68.73,5.03
2020-10-22 07:00:00 UTC,4.94,7.13,7.88,9448,-77.8,49,69.73,7.13
2020-10-22 08:00:00 UTC,5.1,7.37,8,9508,-75,49,70.87,7.37
2020-10-22 09:00:00 UTC,4.32,6.31,7.06,9568,-76.47,47.87,70.5,6.31
2020-10-22 10:00:00 UTC,3.12,4.54,5.06,9628,-76.43,47.97,70.2,4.54
2020-10-22 11:00:00 UTC,3.58,5.23,5.84,9688,-74.93,48.7,70,5.23
2020-10-22 12:00:00 UTC,3.82,5.57,6.09,9748,-76.6,49.1,69.87,5.57
2020-10-22 13:00:00 UTC,3.69,5.41,6.17,9808,-78.17,49.6,68.83,5.41
2020-10-22 14:00:00 UTC,5,7.72,8.54,9868,-76.13,48.33,69.23,7.72
2020-10-22 15:00:00 UTC,7.08,11.78,12.96,9928,-75.87,49.4,70.2,11.78
2020-10-22 16:00:00 UTC,8.04,12.71,13.98,9988,-77.57,50.6,69.93,12.71
2020-10-22 17:00:00 UTC,8.96,12.52,13.37,10048,-77.27,52.93,66.27,12.52
2020-10-22 18:00:00 UTC,7.46,10.26,11.13,10108,-78.3,54.23,62.57,10.26
2020-10-22 19:00:00 UTC,8.36,11.42,12.32,10168,-78.83,54.97,61.5,11.42
2020-10-22 20:00:00 UTC,8.76,12.22,13.08,10228,-77.27,54.97,60.97,12.22
2020-10-22 21:00:00 UTC,5.86,8.11,8.74,10288,-79.5,54.97,59.27,8.11
2020-10-22 22:00:00 UTC,5.83,7.88,8.51,10348,-77,55,59.13,7.88
2020-10-22 23:00:00 UTC,5.99,7.94,8.66,10408,-78.67,54.4,62.63,7.94
2020-10-23 00:00:00 UTC,5.46,7.21,7.61,10468,-76.77,53.47,64.3,7.21
2020-10-23 01:00:00 UTC,5.36,7.03,7.65,10528,-77.43,50.6,66.7,7.03
2020-10-23 02:00:00 UTC,6.06,8.13,8.69,10588,-77.37,49.3,67.63,8.13
2020-10-23 03:00:00 UTC,6.28,8.27,8.9,10648,-76.43,48.77,68.5,8.27
2020-10-23 04:00:00 UTC,6.51,8.65,9.28,10708,-78.77,48.1,69,8.65
2020-10-23 05:00:00 UTC,7.32,9.74,10.65,10768,-77.07,48.03,69.83,9.74
2020-10-23 06:00:00 UTC,9.4,12.74,13.56,10828,-78.8,47.93,70.13,12.74
2020-10-23 07:00:00 UTC,10.15,13.72,14.82,10888,-80.67,47.57,70.27,13.72
2020-10-23 08:00:00 UTC,10.98,15,15.99,10948,-79.7,47.47,69.83,15
2020-10-23 09:00:00 UTC,11.57,15.88,16.95,11008,-80.53,48.97,69.67,15.88
2020-10-23 10:00:00 UTC,8.62,11.74,12.68,11068,-77.3,50.27,67.9,11.74
2020-10-23 11:00:00 UTC,11.31,15.74,16.94,11128,-77,51,65.27,15.74
2020-10-23 12:00:00 UTC,16.07,23.78,25.47,11188,-76.93,50.9,66.67,23.78
2020-10-23 13:00:00 UTC,15.39,23.43,25.31,11248,-79.2,51,66.47,23.42
2020-10-23 14:00:00 UTC,11.65,17.03,18.54,11308,-76.23,50.3,66.27,17.03
2020-10-23 15:00:00 UTC,8.2,11.29,12.15,11368,-74.5,49.97,66.33,11.29
2020-10-23 16:00:00 UTC,5.34,7.44,8.08,11428,-76.07,49.73,63.13,7.44
2020-10-23 17:00:00 UTC,4.57,6.36,6.94,11488,-74.6,49.9,60.6,6.36
2020-10-23 18:00:00 UTC,4.37,6.22,6.75,11548,-75.5,49.87,60.97,6.22
2020-10-23 19:00:00 UTC,3.66,5.37,5.88,11608,-76.2,51.2,58.17,5.37
2020-10-23 20:00:00 UTC,3.62,5.21,5.77,11668,-75.23,52.27,55.3,5.21
2020-10-23 21:00:00 UTC,4.61,6.68,7.33,11728,-74.43,52.97,55.73,6.68
2020-10-23 22:00:00 UTC,4.45,6.5,7.18,11788,-78.7,53,58.6,6.5
2020-10-23 23:00:00 UTC,4.46,6.41,7.1,11848,-76.33,53,62.07,6.41
2020-10-24 00:00:00 UTC,5.52,7.76,8.37,11908,-75.8,53.73,62.17,7.76
2020-10-24 01:00:00 UTC,6.04,8.37,9.05,11968,-75.5,53.4,65.37,8.37
2020-10-24 02:00:00 UTC,2.49,3.59,3.95,12028,-75.17,52.27,67.67,3.59
2020-10-24 03:00:00 UTC,0.79,1.24,1.41,12088,-72.9,51.87,67.43,1.24
2020-10-24 04:00:00 UTC,0.92,1.43,1.59,12148,-75.37,50.9,67.23,1.43
2020-10-24 05:00:00 UTC,1.44,2.19,2.47,12208,-74.67,50.13,65.63,2.19
2020-10-24 06:00:00 UTC,0.93,1.58,1.82,12268,-76.37,50.1,63.1,1.58
2020-10-24 07:00:00 UTC,0.9,1.53,1.82,12328,-76.47,50.77,59.53,1.53
2020-10-24 08:00:00 UTC,1.41,2.17,2.49,12388,-74.2,50.67,56.27,2.17
2020-10-24 09:00:00 UTC,2.54,3.68,3.99,12448,-76.7,50.17,52.93,3.68
2020-10-24 10:00:00 UTC,3.78,5.19,5.61,12508,-76.3,49.1,46.6,5.19
2020-10-24 11:00:00 UTC,3.47,4.83,5.31,12568,-75.43,48.47,44.63,4.83
2020-10-24 12:00:00 UTC,3.32,4.85,5.22,12628,-75.93,47.57,43.33,4.85
2020-10-24 13:00:00 UTC,3.26,4.74,5.18,12688,-75.5,47.1,42.4,4.74
2020-10-24 14:00:00 UTC,3.51,5.05,5.51,12748,-73.23,46.97,42.53,5.05
2020-10-24 15:00:00 UTC,3.42,4.92,5.35,12808,-73.87,46.93,42.93,4.92
2020-10-24 16:00:00 UTC,3.42,5,5.54,12868,-74.3,47.03,43.57,5
2020-10-24 17:00:00 UTC,3.39,5.07,5.63,12928,-75.13,48.03,43.07,5.07
2020-10-24 18:00:00 UTC,3.42,4.93,5.47,12988,-76.17,49.6,40.83,4.93
2020-10-24 19:00:00 UTC,3.45,5.1,5.51,13048,-77.47,51.17,39.87,5.1
2020-10-24 20:00:00 UTC,3.61,5.32,5.82,13108,-76.47,51.77,38.2,5.32
2020-10-24 21:00:00 UTC,3.88,5.74,6.3,13168,-77.3,51.13,39.5,5.74
2020-10-24 22:00:00 UTC,3.98,5.78,6.4,13228,-77.7,51.97,39.4,5.78
2020-10-24 23:00:00 UTC,4.18,6.03,6.64,13288,-77.47,51.4,39.67,6.03
2020-10-25 00:00:00 UTC,4.54,6.43,6.84,13348,-77.9,49.67,40.47,6.43
2020-10-25 01:00:00 UTC,5.09,7.13,7.7,13408,-78.43,48.43,43.43,7.13
2020-10-25 02:00:00 UTC,5.54,7.99,8.8,13468,-76.23,47.5,45.3,7.99
2020-10-25 03:00:00 UTC,5.94,8.35,9.4,13528,-76.3,47,47.27,8.35
2020-10-25 04:00:00 UTC,5.75,8.24,8.97,13588,-76,47,47.6,8.24
2020-10-25 05:00:00 UTC,5.72,8.23,9.16,13648,-78.13,47.03,47.8,8.23
2020-10-25 06:00:00 UTC,5.88,8.4,9.26,13708,-78.2,47,50.47,8.4
2020-10-25 07:00:00 UTC,6.21,8.81,9.78,13768,-76.8,46.5,51.53,8.81
2020-10-25 08:00:00 UTC,6.3,9,10.04,13828,-76.6,45.67,52.5,9
2020-10-25 09:00:00 UTC,6.31,8.98,9.8,13888,-77.47,44.57,53.27,8.98
2020-10-25 10:00:00 UTC,6.44,9.2,10.25,13948,-78.47,44,52.97,9.2
2020-10-25 11:00:00 UTC,6.27,9.08,9.86,14008,-76.07,44,53.93,9.08
2020-10-25 12:00:00 UTC,5.98,8.64,9.52,14068,-76.37,43.67,51.93,8.64
2020-10-25 13:00:00 UTC,5.89,8.55,9.43,14128,-75.97,42.93,50.47,8.55
2020-10-25 14:00:00 UTC,5.94,8.6,9.54,14188,-75.77,42.3,51.13,8.6
2020-10-25 15:00:00 UTC,6.23,9.05,9.95,14248,-75.13,42.77,53.03,9.05
2020-10-25 16:00:00 UTC,6.77,9.98,10.81,14308,-75.9,44,50.6,9.98
2020-10-25 17:00:00 UTC,7.36,10.77,11.65,14368,-74.9,45.73,47.63,10.77
2020-10-25 18:00:00 UTC,7.84,11.19,12.26,14428,-75.37,47.5,43.37,11.19
2020-10-25 19:00:00 UTC,7.83,10.99,11.8,14488,-78.6,48.7,38.27,10.99
2020-10-25 20:00:00 UTC,8.54,11.94,12.86,14548,-76.9,49.27,38.27,11.94
2020-10-25 21:00:00 UTC,9.12,12.84,13.72,14608,-77.97,50.63,38.07,12.84
2020-10-25 22:00:00 UTC,9.69,13.44,14.52,14668,-76.47,50.8,38.27,13.43
2020-10-25 23:00:00 UTC,45.5,63,66.92,14728,-76.8,50.73,41.03,45.64
2020-10-26 00:00:00 UTC,9.11,12.92,13.82,14788,-77.63,48.53,49.73,12.92
2020-10-26 01:00:00 UTC,9.62,13.84,14.99,14848,-76.67,45.73,52.87,13.84
2020-10-26 02:00:00 UTC,10.39,14.86,16.15,14908,-79.2,45,55.1,14.86
2020-10-26 03:00:00 UTC,9.96,14.4,15.73,14968,-78.7,44.77,56,14.4
2020-10-26 04:00:00 UTC,10.29,15.08,16.6,15028,-76.37,43.93,57.93,15.08
2020-10-26 05:00:00 UTC,10.68,16.22,17.77,15088,-76.07,42.93,58.3,16.22
2020-10-26 06:00:00 UTC,14.84,22.11,24.05,15148,-75.87,41.97,60,21.72
2020-10-26 07:00:00 UTC,13.1,18.93,20.62,15208,-75.73,41.5,60.97,18.93
2020-10-26 08:00:00 UTC,9.91,15.02,16.54,15268,-75.67,42.8,61.23,15.02
2020-10-26 09:00:00 UTC,9.85,14.44,15.71,15328,-74.87,44.6,59.53,14.44
2020-10-26 10:00:00 UTC,9.48,13.8,14.94,15388,-75.27,44.47,61.07,13.8
2020-10-26 11:00:00 UTC,9.47,13.7,14.94,15448,-73.03,45,61.9,13.7
2020-10-26 12:00:00 UTC,10.99,15.76,17.01,15508,-73.47,46,61.23,15.76
2020-10-26 13:00:00 UTC,11.89,17.08,18.34,15568,-74.43,46.1,59.27,17.08
2020-10-26 14:00:00 UTC,11.62,16.55,17.92,15628,-74.4,46.2,59.97,16.55
2020-10-26 15:00:00 UTC,12.87,18.26,19.65,15688,-75.87,46.17,61.17,18.26
2020-10-26 16:00:00 UTC,11.34,16.32,17.61,15748,-77.2,47.77,57.5,16.32
2020-10-26 17:00:00 UTC,11.33,16.4,17.69,15808,-78,48.97,55.6,16.4
2020-10-26 18:00:00 UTC,10.94,15.92,17.23,15868,-78.77,50.37,53.9,15.92
2020-10-26 19:00:00 UTC,8.77,12.56,13.74,15928,-76.1,51.93,50.93,12.56
2020-10-26 20:00:00 UTC,8.21,11.77,12.67,15988,-77.27,52.3,47.13,11.77
2020-10-26 21:00:00 UTC,9.88,14.13,15.08,16048,-79.2,53.17,49.43,14.13
2020-10-26 22:00:00 UTC,8.54,12.18,13.12,16108,-75.87,54,49.63,12.18
2020-10-26 23:00:00 UTC,7.49,10.73,11.55,16168,-76.93,53.3,51.83,10.73
2020-10-27 00:00:00 UTC,10.53,14.95,16.1,16228,-77.87,53,52.67,14.95
2020-10-27 01:00:00 UTC,8.91,12.82,13.69,16288,-77.2,52.7,55.17,12.82
2020-10-27 02:00:00 UTC,7.97,11.42,12.23,16348,-75.93,51.53,57.7,11.42
2020-10-27 03:00:00 UTC,8.59,12.36,13.26,16408,-75.67,50.97,58.23,12.36
2020-10-27 04:00:00 UTC,10.22,14.8,16.05,16468,-77.83,51.07,58.37,14.8
2020-10-27 05:00:00 UTC,10.21,14.85,15.93,16528,-77.47,51,59.97,14.85
2020-10-27 06:00:00 UTC,10.92,15.72,17.04,16588,-77.3,50.97,60.37,15.72
2020-10-27 07:00:00 UTC,10.36,15.34,16.73,16648,-78.27,50.87,60.83,15.34
